variety,condition,relative_path,filename,extension,size_bytes,dimensions,status
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195040.jpg,20250607_195040.jpg,.jpg,1036378,3456x1610,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195042.jpg,20250607_195042.jpg,.jpg,1142823,3456x1964,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195055.jpg,20250607_195055.jpg,.jpg,4492241,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195102.jpg,20250607_195102.jpg,.jpg,4346930,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195105.jpg,20250607_195105.jpg,.jpg,3997005,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195107.jpg,20250607_195107.jpg,.jpg,4201931,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195108.jpg,20250607_195108.jpg,.jpg,4219383,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195110(0).jpg,20250607_195110(0).jpg,.jpg,4192431,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195110.jpg,20250607_195110.jpg,.jpg,4236610,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195112.jpg,20250607_195112.jpg,.jpg,4268007,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195144.jpg,20250607_195144.jpg,.jpg,4823661,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195208.jpg,20250607_195208.jpg,.jpg,4705014,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195214.jpg,20250607_195214.jpg,.jpg,5019878,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195239.jpg,20250607_195239.jpg,.jpg,4486863,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195241.jpg,20250607_195241.jpg,.jpg,4474131,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195243.jpg,20250607_195243.jpg,.jpg,4508437,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195249.jpg,20250607_195249.jpg,.jpg,5135441,4608x3456,ok
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195256.jpg,20250607_195256.jpg,.jpg,4722393,4608x3456,ok
